date,home,away,actual,pred_poisson,pred_real,has_real,relo_h,relo_a,lambda_h,lambda_a,match_idx,se_real,se_poisson,min_elo
2025-12-27,Benin,Botswana,1.0,0.5816803413227811,0.6519120398746636,True,1421.0,1312.0,1.2963261824643646,0.9662574422799677,1972,0.12116522798421778,0.1749913368358249,1312.0
2025-12-27,Senegal,DR Congo,0.5,0.6047772321638555,0.7313778578393882,True,1809.0,1635.0,1.414836116841369,0.9795569136968731,1973,0.05353571309834416,0.010978268379918471,1635.0
2025-12-27,Nigeria,Tunisia,1.0,0.5248153410392887,0.45265148195413535,True,1627.0,1660.0,1.1980309825796025,1.0975831664149356,1974,0.29959040020700417,0.22580046011160748,1627.0
2025-12-27,Uganda,Tanzania,0.5,0.5069042375540533,0.6387377491117249,True,1416.0,1317.0,1.0953010279430557,1.068053710839548,1975,0.019248163028587915,4.7668496202800425e-05,1317.0
2025-12-28,Algeria,Burkina Faso,1.0,0.6146878139197689,0.7256856462717871,True,1734.0,1565.0,1.7153050671185288,1.1949139917033496,1976,0.0752483646613271,0.14846548074192664,1565.0
2025-12-28,Côte d'Ivoire,Cameroon,0.5,0.6094492576842783,0.5573116337622928,True,1618.0,1578.0,1.4807154323816856,1.0172008055139283,1977,0.003284623364503175,0.011979140007639544,1578.0
2025-12-28,Equatorial Guinea,Sudan,0.0,0.511177012941543,0.6104024220946891,True,1422.0,1344.0,1.2617140417352133,1.2149692396953662,1978,0.372591116899063,0.26130193855983846,1344.0
2025-12-28,Gabon,Mozambique,0.0,0.609976296363379,0.6117705007810643,True,1448.0,1369.0,1.6232583035933963,1.1364600600427643,1979,0.37426314562591423,0.3720710821251848,1369.0
2025-12-29,Zambia,Morocco,0.0,0.17939001306097724,0.0374476325364447,True,1373.0,1837.0,0.6284757297038935,2.1921647379803306,1980,0.0014023251825845918,0.032180776786017586,1373.0
2025-12-29,Zimbabwe,South Africa,0.0,0.3133415492369056,0.25967158048516964,True,1355.0,1537.0,0.8593394111226391,1.6689664862242386,1981,0.06742932971166593,0.09818292647818413,1355.0
2025-12-29,Angola,Egypt,0.5,0.46399889831000124,0.3692697113837977,True,1536.0,1629.0,1.1035287459119316,1.2508730446384408,1982,0.01709040836167555,0.0012960793228936316,1536.0
2025-12-29,Comoros,Mali,0.5,0.2884790713049964,0.18551641249528777,True,1358.0,1615.0,0.807936046281561,1.7358634673144853,1983,0.09889992680983399,0.0447411032759968,1358.0
2025-12-30,Tanzania,Tunisia,0.5,0.4122867793452936,0.14445792510730254,True,1324.0,1633.0,0.9511340794169335,1.3054111802607873,1984,0.12641016701900448,0.00769360907762121,1324.0
2025-12-30,Uganda,Nigeria,0.0,0.3656069049196097,0.19618148057531573,True,1409.0,1654.0,0.8686763641950533,1.419092619613518,1985,0.03848717332072298,0.1336684089248965,1409.0
2025-12-30,Benin,Senegal,0.0,0.28757405273635606,0.1123887401401455,True,1438.0,1797.0,0.7981135985921659,1.7273214148327285,1986,0.012631228910289151,0.08269883580721249,1438.0
2025-12-30,Botswana,DR Congo,0.0,0.2909815627582606,0.11647171194356075,True,1295.0,1647.0,0.757189522612487,1.6513534097591056,1987,0.013565659683063792,0.08467026986523955,1295.0
2025-12-31,Equatorial Guinea,Algeria,0.0,0.25706195099028584,0.11354237633604944,True,1391.0,1748.0,0.9138590529319419,2.076142545252598,1988,0.01289187122403708,0.06608084664693212,1391.0
2025-12-31,Sudan,Burkina Faso,0.0,0.38189491926058183,0.2663662975861926,True,1375.0,1551.0,1.035962843210201,1.5439290467635667,1989,0.07095100448977612,0.14584372935704631,1375.0
2025-12-31,Mozambique,Cameroon,0.0,0.3674469627591834,0.2607797458593321,True,1400.0,1581.0,0.8925659583677893,1.4397594744582012,1990,0.06800607585045784,0.13501727044094874,1400.0
2025-12-31,Gabon,Côte d'Ivoire,0.0,0.34279808754699004,0.2423608251377483,True,1417.0,1615.0,1.1364220281010047,1.866508389972421,1991,0.0587387695614502,0.11751052882587384,1417.0
